pair,method,group_a,group_b,logZ_a,logZ_b,logBF_a_minus_b,abs_logBF,minuslogpost_min_a,minuslogpost_min_b,map_logpost_gap_a_minus_b,null_label,iteration
native_combined_random_split_perm021,diagonal_covariance_laplace,native_combined_random_split_perm021_A,native_combined_random_split_perm021_B,-754.0196054979419,-754.3659621122283,0.3463566142863783,0.3463566142863783,729.84925,729.91096,0.06171000000006188,native_combined_random_split,21
native_combined_random_split_perm021,iqr_diagonal_laplace,native_combined_random_split_perm021_A,native_combined_random_split_perm021_B,-755.3344165856128,-755.434976708931,0.10056012331824604,0.10056012331824604,729.84925,729.91096,0.06171000000006188,native_combined_random_split,21
native_combined_random_split_perm022,full_covariance_laplace,native_combined_random_split_perm022_A,native_combined_random_split_perm022_B,-754.2834859705258,-754.140599099386,-0.14288687113980814,0.14288687113980814,729.96766,729.84925,-0.11841000000003987,native_combined_random_split,22
native_combined_random_split_perm022,diagonal_covariance_laplace,native_combined_random_split_perm022_A,native_combined_random_split_perm022_B,-754.2827520203755,-754.1388415645973,-0.14391045577815476,0.14391045577815476,729.96766,729.84925,-0.11841000000003987,native_combined_random_split,22
native_combined_random_split_perm022,iqr_diagonal_laplace,native_combined_random_split_perm022_A,native_combined_random_split_perm022_B,-755.4602306872525,-755.3805936505238,-0.0796370367287409,0.0796370367287409,729.96766,729.84925,-0.11841000000003987,native_combined_random_split,22
native_combined_random_split_perm023,full_covariance_laplace,native_combined_random_split_perm023_A,native_combined_random_split_perm023_B,-754.0298098500487,-754.4388639820673,0.4090541320186958,0.4090541320186958,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,23
native_combined_random_split_perm023,diagonal_covariance_laplace,native_combined_random_split_perm023_A,native_combined_random_split_perm023_B,-754.0283427394925,-754.4379461651349,0.40960342564244456,0.40960342564244456,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,23
native_combined_random_split_perm023,iqr_diagonal_laplace,native_combined_random_split_perm023_A,native_combined_random_split_perm023_B,-755.4207299228173,-755.3432782309152,-0.0774516919020698,0.0774516919020698,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,23
native_combined_random_split_perm024,full_covariance_laplace,native_combined_random_split_perm024_A,native_combined_random_split_perm024_B,-754.4442582937635,-753.9763963596685,-0.4678619340950263,0.4678619340950263,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,24
native_combined_random_split_perm024,diagonal_covariance_laplace,native_combined_random_split_perm024_A,native_combined_random_split_perm024_B,-754.4435262927823,-753.9750464916287,-0.46847980115353494,0.46847980115353494,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,24
